deployment_id,receiver_serial_number,receiver_reference_type,receiver_reference_id,receiver_manufacturer,receiver_model
ASF-Down's Gulch-VR2-3353-2005,3353,ManmadePlatform,ASF_ASF-Down's Gulch,VEMCO,VR2
ASF-DoylesBr-VR2-3611-2005,3611,ManmadePlatform,ASF_ASF-DoylesBr,VEMCO,VR2
ASF-East end of Beaubear Island-Chatham Side-VR2-1618-2007,1618,ManmadePlatform,ASF_ASF-East end of Beaubear Island-Chatham Side,VEMCO,VR2
ASF-East end of Beaubear Island-Strawberry Marsh-VR2-1178-2006,1178,ManmadePlatform,ASF_ASF-East end of Beaubear Island-Strawberry Marsh,VEMCO,VR2
ASF-East end of Beaubear Island-Strawberry Marsh-VR2-1574-2007,1574,ManmadePlatform,ASF_ASF-East end of Beaubear Island-Strawberry Marsh,VEMCO,VR2
ASF-East Line E-VR2-2595-2009,2595,ManmadePlatform,ASF_ASF-East Line E,VEMCO,VR2
ASF-East Line F-VR2-1076-2009,1076,ManmadePlatform,ASF_ASF-East Line F,VEMCO,VR2
ASF-East Line G-VR2-2884-2009,2884,ManmadePlatform,ASF_ASF-East Line G,VEMCO,VR2
ASF-East Line H-VR2-2610-2009,2610,ManmadePlatform,ASF_ASF-East Line H,VEMCO,VR2
ASF-Eel Ground-VR2-1177-2009,1177,ManmadePlatform,ASF_ASF-Eel Ground,VEMCO,VR2
